"state_name","year","median_weekly_income"
"Tasmania",2022,"1090.00"
"Victoria",2022,"1250.00"
"Western Australia",2022,"1300.40"
"Australia",2023,"1300.00"
"Australian Capital Territory",2023,"1552.60"
"New South Wales",2023,"1345.00"
"Northern Territory",2023,"1405.80"
"Queensland",2023,"1300.00"
"South Australia",2023,"1200.00"
"Tasmania",2023,"1205.70"
"Victoria",2023,"1296.30"
"Western Australia",2023,"1322.70"
"Australia",2024,"1399.00"
"Australian Capital Territory",2024,"1667.20"
"New South Wales",2024,"1395.70"
"Northern Territory",2024,"1500.00"
"Queensland",2024,"1350.00"
"South Australia",2024,"1250.00"
"Tasmania",2024,"1208.00"
"Victoria",2024,"1400.00"
"Western Australia",2024,"1500.00"
"Australia",2025,"1425.00"
"Australian Capital Territory",2025,"1600.00"
"New South Wales",2025,"1463.70"
"Northern Territory",2025,"1509.70"
"Queensland",2025,"1439.30"
"South Australia",2025,"1300.00"
"Tasmania",2025,"1300.00"
"Victoria",2025,"1380.00"
"Western Australia",2025,"1500.00"
